; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x82176360  sub_82176360  [called 1x]
  0x821771D0  sub_821771D0  [called 2x]
  0x82177A68  sub_82177A68  [called 1x]
  0x82178A10  sub_82178A10  [called 1x]
  0x821792C8  sub_821792C8  [called 0x]
  0x821792D0  sub_821792D0  [called 0x]
  0x821792D8  sub_821792D8  [called 73x]
  0x82179350  sub_82179350  [called 127x]
  0x8217F120  sub_8217F120  [called 0x]
  0x8217F138  sub_8217F138  [called 5x]
  0x8217F8C0  sub_8217F8C0  [called 2x]
  0x82180CA8  sub_82180CA8  [called 3x]
  0x82182C38  sub_82182C38  [called 1x]
  0x82183378  sub_82183378  [called 2x]
  0x82184B58  sub_82184B58  [called 0x]
  0x82184B60  sub_82184B60  [called 66x]
  0x82184BD8  sub_82184BD8  [called 28x]
  0x821854C8  sub_821854C8  [called 14x]
  0x82185698  sub_82185698  [called 16x]
  0x82185868  sub_82185868  [called 9x]
  0x821862A0  sub_821862A0  [called 2x]
  0x82186358  sub_82186358  [called 1x]
  0x82187AE8  sub_82187AE8  [called 3x]
  0x82187BA0  sub_82187BA0  [called 0x]
  0x82187BE8  sub_82187BE8  [called 0x]
  0x82187D90  sub_82187D90  [called 6x]
  0x82188280  sub_82188280  [called 4x]
  0x8218A288  sub_8218A288  [called 2x]
  0x8218BB38  sub_8218BB38  [called 2x]
  0x8218CD48  sub_8218CD48  [called 2x]
  0x8218E5C8  sub_8218E5C8  [called 3x]
  0x82192818  sub_82192818  [called 1x]
  0x82192950  sub_82192950  [called 2x]
  0x82194648  sub_82194648  [called 2x]
  0x82195010  sub_82195010  [called 1x]
  0x82195800  sub_82195800  [called 1x]
  0x821962C0  sub_821962C0  [called 2x]
  0x82199100  sub_82199100  [called 0x]
  0x82199108  sub_82199108  [called 5x]
  0x821991F8  sub_821991F8  [called 1x]
  0x821998A0  sub_821998A0  [called 1x]
  0x82199E48  sub_82199E48  [called 4x]
  0x82199EA8  sub_82199EA8  [called 2x]
  0x8219A328  sub_8219A328  [called 3x]
  0x8219A3B0  sub_8219A3B0  [called 4x]
  0x8219A448  sub_8219A448  [called 3x]
  0x8219C5B0  sub_8219C5B0  [called 1x]
  0x8219C6F8  sub_8219C6F8  [called 1x]
  0x8219CF10  sub_8219CF10  [called 7x]
