auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8r  ] 0x8215AD28  game_AD28                                                rev 7/10 callers 'game'
  [P8f  ] 0x8215EEB8  grc_EEB8                                                 fwd 2/4 'grc'
  [P8f  ] 0x8215EFA0  grc_EFA0                                                 fwd 2/4 'grc'
  [P8r  ] 0x8215FF68  grcTextureFactoryString_FF68                             rev 2/2 callers 'rage::grcTextureFactoryString'
  [P8r  ] 0x82160D08  audControl3d_0D08                                        rev 2/2 callers 'rage::audControl3d'
  [P8r  ] 0x82162B48  audControlMgr_2B48                                       rev 2/2 callers 'rage::audControlMgr'
  [P8rh ] 0x82162CD8  game_2CD8_h                                              rev private helper 'game' sz=32
  [P8f  ] 0x82166280  game_6280                                                fwd 3/4 'game'
  [P8f  ] 0x82166310  game_6310                                                fwd 2/3 'game'
  [P8f  ] 0x82167A00  game_7A00                                                fwd 2/4 'game'
  [P8f  ] 0x82167EA8  game_7EA8                                                fwd 4/13 'game'
  [P8f  ] 0x82168B78  game_8B78                                                fwd 2/4 'game'
  [P8f  ] 0x82169E00  game_9E00                                                fwd 4/6 'game'
  [P8f  ] 0x8216A308  game_A308                                                fwd 3/8 'game'
  [P8f  ] 0x8216AB30  game_AB30                                                fwd 3/10 'game'
  [P8r  ] 0x8216BAF0  game_BAF0                                                rev 2/2 callers 'game'
  [P8r  ] 0x8216BB88  game_BB88                                                rev 2/2 callers 'game'
  [P8r  ] 0x8216C178  game_C178                                                rev 2/2 callers 'game'
  [P8f  ] 0x8216D1E8  game_D1E8                                                fwd 2/3 'game'
  [P8f  ] 0x8216D4B8  game_D4B8                                                fwd 2/3 'game'
  [P8r  ] 0x8216E6C0  pongCSActionCamAnim_E6C0                                 rev 2/5 callers 'pongCSActionCamAnim'
  [P8r  ] 0x8216E710  pongCSActionCamAnim_E710                                 rev 2/5 callers 'pongCSActionCamAnim'
  [P8r  ] 0x8216FAF0  game_FAF0                                                rev 2/2 callers 'game'
  [P8f  ] 0x8216FDA0  game_FDA0                                                fwd 2/4 'game'
  [P8f  ] 0x82170430  game_0430                                                fwd 3/9 'game'
  [P8r  ] 0x82174298  game_4298                                                rev 3/4 callers 'game'
  [P8f  ] 0x82175008  game_5008                                                fwd 3/3 'game'
  [P8f  ] 0x82175E38  game_5E38                                                fwd 2/6 'game'
  [P1r  ] 0x82176138  geomBoxes_TestSegmentToBox                               string ref (was geomBoxes_TestSegmentToBox_6138_6138_6138_6138_6138_6138_6138_6138)
  [P8f  ] 0x82177AD0  game_7AD0                                                fwd 2/4 'game'
  [P8f  ] 0x82179430  game_9430                                                fwd 4/6 'game'
  [P8f  ] 0x82179D80  game_9D80                                                fwd 3/10 'game'
  [P8f  ] 0x8217A238  game_A238                                                fwd 2/6 'game'
  [P8f  ] 0x8217A488  game_A488_A488                                           fwd 3/9 'game'
  [P8f  ] 0x8217AB50  game_AB50                                                fwd 2/6 'game'
  [P8f  ] 0x8217B568  game_B568                                                fwd 3/9 'game'
  [P8f  ] 0x8217BA00  game_BA00                                                fwd 2/4 'game'
  [P8f  ] 0x8217BB20  game_BB20_BB20                                           fwd 2/4 'game'
  [P8r  ] 0x82182A10  cmSampleCamMotorPlant_2A10                               rev 2/2 callers 'rage::cmSampleCamMotorPlant'
  [P8f  ] 0x82183220  game_3220                                                fwd 2/4 'game'
  [P8r  ] 0x82183B50  game_3B50                                                rev 2/2 callers 'game'
  [P8f  ] 0x82183C08  game_3C08                                                fwd 4/10 'game'
  [P8f  ] 0x821840F8  game_40F8                                                fwd 4/12 'game'
  [P8f  ] 0x821845E8  game_45E8                                                fwd 7/14 'game'
  [P8r  ] 0x82184B60  cmSwitch_4B60                                            rev 25/66 callers 'cmSwitch'
