auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x821F0968  rage_0968                                           [calls 2x into 'rage' module]
  0x821F0E10  rage_0E10                                           [calls 3x into 'rage' module]
  0x821F1168  rage_1168                                           [calls 2x into 'rage' module]
  0x821F1CA8  rage_1CA8                                           [calls 2x into 'rage' module]
  0x821F1F80  rage_1F80                                           [calls 2x into 'rage' module]
  0x821F2180  nop_2180                                            [stub/nop body]
  0x821F3078  vtthunk_821F3078                                    [vtable thunk (6 insns, ends bctr)]
  0x821F3128  nop_3128                                            [stub/nop body]
  0x821F98A8  nop_98A8                                            [stub/nop body]
  0x821F98B8  nop_98B8                                            [stub/nop body]
  0x821F98C8  nop_98C8                                            [stub/nop body]
  0x821F9970  rage_9970                                           [calls 2x into 'rage' module]
  0x8220BB80  rage_BB80                                           [calls 5x into 'rage' module]
  0x8220C0B8  rage_C0B8                                           [calls 4x into 'rage' module]
  0x8220C558  rage_C558                                           [calls 4x into 'rage' module]
  0x8220CC58  rage_CC58                                           [calls 2x into 'rage' module]
  0x8220CCD0  game_CCD0                                           [calls 8x into 'game' module]
  0x8220D418  game_D418                                           [calls 2x into 'game' module]
  0x8220F0A8  game_F0A8                                           [calls 10x into 'game' module]
  0x82211760  nop_1760                                            [stub/nop body]
  0x82211770  nop_1770                                            [stub/nop body]
  0x82211AF0  rage_1AF0                                           [calls 5x into 'rage' module]
  0x82211DE0  game_1DE0                                           [calls 2x into 'game' module]
  0x82212158  rage_2158                                           [calls 2x into 'rage' module]
  0x82212218  rage_2218                                           [calls 2x into 'rage' module]
  0x82212698  rage_2698                                           [calls 3x into 'rage' module]
  0x82212778  game_2778                                           [calls 2x into 'game' module]
  0x82212940  rage_2940                                           [calls 4x into 'rage' module]
  0x82212E78  nop_2E78                                            [stub/nop body]
  0x82214260  nop_4260                                            [stub/nop body]
  0x82214A00  game_4A00                                           [calls 2x into 'game' module]
  0x82215670  game_5670                                           [calls 9x into 'game' module]
  0x82215C80  rage_5C80                                           [calls 2x into 'rage' module]
  0x82216C28  rage_6C28                                           [calls 2x into 'rage' module]
  0x82222638  game_2638                                           [calls 2x into 'game' module]
  0x82223918  game_3918                                           [calls 2x into 'game' module]
  0x822240E8  ph_40E8                                             [calls 2x into 'ph' module]
  0x822244F8  ph_44F8                                             [calls 2x into 'ph' module]
  0x822247C0  ph_47C0                                             [calls 2x into 'ph' module]
  0x82226428  game_6428                                           [calls 6x into 'game' module]
  0x82226880  game_6880                                           [calls 5x into 'game' module]
  0x822284A8  game_84A8                                           [calls 9x into 'game' module]
  0x82228C58  nop_8C58                                            [stub/nop body]
  0x82228C68  game_8C68                                           [calls 5x into 'game' module]
  0x8222B8F8  nop_B8F8                                            [calls 2x into 'nop' module]
  0x8222C188  game_C188                                           [calls 2x into 'game' module]
  0x8222E3B8  game_E3B8                                           [calls 3x into 'game' module]
  0x8222EDA0  rage_EDA0                                           [calls 11x into 'rage' module]
  0x8222F8A0  thunk_fn_82230D38                                   [thunk -> fn_82230D38]
